Nome;Ricorrenza;Categoria;Importo lordo;Immobile;Data
Arredamento appartamento;una tantum;Arredamento;7400,00;A013;15/06/2026
Commercialista;1 year;Commercialista;3600,00;;
Software gestionale PMS;1 mon;Software;340,00;;
Assicurazione RC;1 year;Assicurazione;1450,00;;
Manutenzione caldaie;1 year;Manutenzioni;2100,00;;
Manutenzioni varie appartamenti;1 mon;Manutenzioni;450,00;;
Lavanderia esterna;1 mon;Lavanderia;1850,00;;
Biancheria sostituzione;1 year;Biancheria;2400,00;;
Pulizie straordinarie;1 mon;Pulizie;600,00;;
Servizio fotografico nuovi appartamenti;una tantum;Fotografia;1800,00;;22/05/2026
Affitto ufficio;1 mon;Affitti;900,00;;
Affitto magazzino;1 mon;Affitti;250,00;;
Utenze ufficio;1 mon;Utenze;180,00;;
